paris_siglum;title_1;title_2;title_3;title_4;title_5;title_6;title_7;language;dialect;lat;lon;iso-3;century;date_start;date_end;author;bibl;add_inf;add_inf_2;date_mean;;;;;;;;;;;;;;
;Dolopathos;;;;;;;Latin;;47.067316;-14.096246;;1300;1201;1300;Jean de Haute-Seille (Johannes de Alta Silva);Luxemburg, Bibliothèque nationale de Luxembourg, Ms 110;https://bibliotheca-laureshamensis-digital.de/view/bnl_ms110;;1250,5;;;;;;;;;;;;;;
S;De Spiritu Guidonis;;;;;;;Latin;;47.067317;-14.096247;;1300;1233;1266;Jean Gobi Le Jeune, Johannes Gobius;Heidelberg, Universitätsbibliothek, 397;https://katalog.ub.uni-heidelberg.de/titel/66568959;;1249,5;;;;;;;;;;;;;;
S;Scala coeli;;;;;;;Latin;;47.067318;-14.096248;;1400;1301;1400;Jean Gobi Le Jeune, Johannes Gobius;Madrid, Biblioteca nacional de España, 1113;http://catalogo.bne.es/uhtbin/cgisirsi/?ps=O8t5whFGTJ/BNMADRID/152071524/9;;1350,5;;;;;;;;;;;;;;
S;De Spiritu Guidonis;;;;;;;Latin;;47.067319;-14.096249;;1400;1375;1399;Jean Gobi Le Jeune, Johannes Gobius;Cambridge, Corpus Christi College, Parker Library, Ms 218;https://parker.stanford.edu/parker/catalog/xz042hy3921;;1387;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067320;-14.096250;;1400;1375;;;Admont, Stiftsbibliothek, Benediktinerstift, Cod. 362;https://manuscripta.at/hs_detail.php?ID=26918;;1375;;;;;;;;;;;;;;
H;Historia de septem sapientibus;;;;;;;Latin;;47.067321;-14.096251;;1400;1301;1400;;Colmar, Bibliothèque municipale, 432;https://ccfr.bnf.fr/portailccfr/ark:/06871/004D52013641;;1350,5;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067322;-14.096252;;1400;1301;1400;;Erfurt, Universitäts- und Forschungsbibliothek, Dep. Erf. CA. 4° 391;http://www.manuscripta-mediaevalia.de/?xdbdtdn!%22obj%2032213958%22&dmode=doc#|8;;1350,5;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067323;-14.096253;;1400;1350;;;Halle, Universitäts- und Landesbibliothek Sachsen-Anhalt, Qu. Cod. 215;https://search.ebscohost.com/login.aspx?direct=true&db=cat07899a&AN=ulb.791674495&lang=de&site=eds-live&scope=site;;1350;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067324;-14.096254;;1400;1342;;;Innsbruck, Universitäts- und Landesbibliothek Tirol, Cod. lat. 310, 1342;https://manuscripta.at/hs_detail.php?ID=7891;;1342;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067325;-14.096255;;1400;1301;1500;;Manchester, John Rylands University Library, Ms. lat. 70;https://www.librarysearch.manchester.ac.uk/permalink/44MAN_INST/bofker/alma9910706054401631;;1400,5;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067326;-14.096256;;1400;1325;1350;;München, Universitätsbibliothek, Cod. ms. 672;http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0054_b150_JPG.htm;;1337,5;;;;;;;;;;;;;;
;Dolopathos;;;;;;;Latin;;47.067327;-14.096257;;1500;1471;;Jean de Haute-Seille (Johannes de Alta Silva);Innsbruck, Universitäts- und Landesbibliothek Tirol, 60;https://manuscripta.at/hs_detail.php?ID=7641;;1471;;;;;;;;;;;;;;
;Dolopathos;;;;;;;Latin;;47.067328;-14.096258;;1500;1401;1500;Jean de Haute-Seille (Johannes de Alta Silva);London, British Library, Additional, 18922;http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS032-002095543;;1450,5;;;;;;;;;;;;;;
;Dolopathos;;;;;;;Latin;;47.067329;-14.096259;;1500;1459;;Jean de Haute-Seille (Johannes de Alta Silva);Wien, Österreichische Nationalbibliothek, 4739;http://www.mirabileweb.it/manuscript/wien-%C3%B6sterreichische-nationalbibliothek-4739-manuscript/233462;;1459;;;;;;;;;;;;;;
