paris_siglum;title_1;title_2;title_3;title_4;title_5;title_6;title_7;language;dialect;iso-3;date_start;date_end;author;bibl;add_inf;add_inf_2
H;Historia de septem sapientibus;;;;;;;Latin;;;1301;1400;;Colmar, Bibliothèque municipale, 432;https://ccfr.bnf.fr/portailccfr/ark:/06871/004D52013641;
H;Historia septem sapientium;;;;;;;Latin;;;1301;1400;;Erfurt, Universitäts- und Forschungsbibliothek, Dep. Erf. CA. 4° 391;http://www.manuscripta-mediaevalia.de/?xdbdtdn!%22obj%2032213958%22&dmode=doc#|8;
H;Historia septem sapientium;;;;;;;Latin;;;1350;;;Halle, Universitäts- und Landesbibliothek Sachsen-Anhalt, Qu. Cod. 215;https://search.ebscohost.com/login.aspx?direct=true&db=cat07899a&AN=ulb.791674495&lang=de&site=eds-live&scope=site;
H;Historia septem sapientium;;;;;;;Latin;;;1342;;;Innsbruck, Universitäts- und Landesbibliothek Tirol, Cod. lat. 310, 1342;https://manuscripta.at/hs_detail.php?ID=7891;
H;Historia septem sapientium;;;;;;;Latin;;;1301;1500;;Manchester, John Rylands University Library, Ms. lat. 70;https://www.librarysearch.manchester.ac.uk/permalink/44MAN_INST/bofker/alma9910706054401631;
H;Historia septem sapientium;;;;;;;Latin;;;1325;1350;;München, Universitätsbibliothek, Cod. ms. 672;http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0054_b150_JPG.htm;
;Dolopathos;;;;;;;Latin;;;1471;;Jean de Haute-Seille (Johannes de Alta Silva);Innsbruck, Universitäts- und Landesbibliothek Tirol, 60;https://manuscripta.at/hs_detail.php?ID=7641;
;Dolopathos;;;;;;;Latin;;;1401;1500;Jean de Haute-Seille (Johannes de Alta Silva);London, British Library, Additional, 18922;http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS032-002095543;
;Dolopathos;;;;;;;Latin;;;1459;;Jean de Haute-Seille (Johannes de Alta Silva);Wien, Österreichische Nationalbibliothek, 4739;http://www.mirabileweb.it/manuscript/wien-%C3%B6sterreichische-nationalbibliothek-4739-manuscript/233462;
S;Scala coeli;;;;;;;Latin;;;1401;1500;Jean Gobi Le Jeune, Johannes Gobius;Burgo de Osma, Biblioteca de la Catedral, 57;https://www.cervantesvirtual.com/obras/materia-autoridad/catedral-de-burgo-de-osma-biblioteca-37085;
S;Scala Celi;;;;;;;Latin;;;1400;1599;Jean Gobi Le Jeune, Johannes Gobius;Dublin, Trinity College Library, Ms 128;https://manuscripts.catalogue.tcd.ie/CalmView/Record.aspx?src=CalmView.Catalog&id=IE+TCD+MS+128&pos=1;
S;Scala coeli;;;;;;;Latin;;;1401;1500;Jean Gobi Le Jeune, Johannes Gobius;Sevilla, Biblioteca Capitular y Colombina, 5-6-27;http://opac.icolombina.es/opac/abnetcl.exe/O7008/ID49445bd7/NT3?ACC=165&DOC=7&xsface=on;
S;Scala coeli;;;;;;;Latin;;;1401;1500;Jean Gobi Le Jeune, Johannes Gobius;Urgel, Biblioteca capitular, Ms 2080;https://www.vhmml.org/readingRoom/view/58179;
S;De Spiritu Guidonis;;;;;;;Latin;;;1375;1425;Jean Gobi Le Jeune, Johannes Gobius;London, British Library, Cotton, Vespasianus A. VI, f. 134;http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS041-001103162;
S;De Spiritu Guidonis;;;;;;;Latin;;;1401;1450;Jean Gobi Le Jeune, Johannes Gobius;London, British Library, Cotton, Vespasianus E. I, f. 221v;http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS041-001103387;
S;De Spiritu Guidonis;;;;;;;Latin;;;1470;1480;Jean Gobi Le Jeune, Johannes Gobius;Oxford, Merton College Library, 13;https://medieval.bodleian.ox.ac.uk/catalog/manuscript_10112;
S;De Spiritu Guidonis;;;;;;;Latin;;;1401;1500;Jean Gobi Le Jeune, Johannes Gobius;Paris, Bibliothèque nationale de France, latin, 13602, f. 33;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc74536b;
H;Historia septem sapientium;;;;;;;Latin;;;1401;1500;;Bamberg, Staatsbibliothek, Msc. theol. 108;http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0600_0712_jpg.htm;
H;Historia septem sapientium;;;;;;;Latin;;;1401;1500;;Berlin, Staatsbibliothek und Preussischer Kulturbesitz, Ms. theol. lat. fol. 67;https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN689695519&PHYSID=PHYS_0001&view=overview-info;
H;Historia septem sapientium;;;;;;;Latin;;;1456;;;Hannover, Niedersächsische Landesbibliothek, Ms. IV 616;https://handschriftencensus.de/13257#cInhalt;
H;Historia septem sapientium;;;;;;;Latin;;;1419;1440;;Hannover, Niedersächsische Landesbibliothek, Ms. XIII 859;http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0056_a203_JPG.htm;
H;Historia septem sapientium;;;;;;;Latin;;;1401;1500;;München, Bayerische Staatsbibliothek, clm 3040;https://www.digitale-sammlungen.de/en/details/bsb00008252;
H;Historia septem sapientium;;;;;;;Latin;;;1448;;;München, Bayerische Staatsbibliothek, clm 3861;https://www.digitale-sammlungen.de/en/details/bsb00008252;
H;Historia septem sapientium;;;;;;;Latin;;;1457;;;München, Bayerische Staatsbibliothek, clm 4691;https://www.digitale-sammlungen.de/en/details/bsb00008252;
H;Gesta Romanorum cum Historia VII sapientium;;;;;;;Latin;;;1401;1500;;München, Bayerische Staatsbibliothek, clm 18786;https://www.digitale-sammlungen.de/en/details/bsb00008254;
H;Historia septem sapientium;;;;;;;Latin;;;1446;;;München, Bayerische Staatsbibliothek, clm 21049;https://www.digitale-sammlungen.de/en/details/bsb00008255;
H;Historia septem sapientium;;;;;;;Latin;;;1401;1500;;Paris, Bibliothèque nationale de France, Latin 8506;https://gallica.bnf.fr/ark:/12148/btv1b9072602r;
H;Historia septem sapientium;;;;;;;Latin;;;1418;;;Praha, Krivoklar, Cod. I.a.37;https://www.arlima.net/qt/septem_sapientum_historia_h.html;
S;De Spiritu Guidonis;;;;;;;Latin;;;1501;1700;Jean Gobi Le Jeune, Johannes Gobius;Paris, Bibliothèque nationale de France, Arsenal, 2890, f. 198;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc83620t;
H;Historia septem sapientium;;;;;;;Latin;;;1501;1600;;Wien, Österreichische Nationalbibliothek, 10454;http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0751f_b0192_jpg.htm;
S;Scala coeli;;;;;;;Latin;;;;;Jean Gobi Le Jeune, Johannes Gobius;Wien, Österreichische Nationalbibliothek, Cod. 13538;http://data.onb.ac.at/rec/AC13970119;
S;De Spiritu Guidonis;;;;;;;Latin;;;;;Jean Gobi Le Jeune, Johannes Gobius;Berlin, Staatsbibliothek und Preussischer Kulturbesitz, Diez. C. Fol 2, Nr. 6;http://www.manuscripta-mediaevalia.de/dokumente/html/hsk0480;
S;De Spiritu Guidonis;;;;;;;Latin;;;;;Jean Gobi Le Jeune, Johannes Gobius;Bruxelles, Bibliothèque royale de Belgique, 4361;https://opac.kbr.be/LIBRARY/doc/SYRACUSE/10713788;
S;De Spiritu Guidonis;;;;;;;Latin;;;;;Jean Gobi Le Jeune, Johannes Gobius;Bruxelles, Bibliothèque royale de Belgique, 8769;https://www.arlima.net/il/jean_gobi_le_jeune.html;
H;Historia septem sapientium;;;;;;;Latin;;;;;;Dublin, Trinity College Library, F. 5. 3, p. 42-54;https://www.arlima.net/qt/septem_sapientum_historia.html;
;Allegatio septem sapientum;;;;;;;High German;;DEU;1301;1400;;Chantilly, Bibliothèque et Archives du Château, 683 (1427), f. 13;http://initiale.irht.cnrs.fr/codex/10540;
